Enumeration ID,Sf category,Tag
TBL_BEGIN,?,?
1,entry_interview,_Entry_interview.PDB_deposition
2,entry_interview,_Entry_interview.BMRB_deposition
3,entry_interview,_Entry_interview.View_mode
4,entry_interview,_Entry_interview.Structural_genomics
5,entry_interview,_Entry_interview.Ligands
6,entry_interview,_Entry_interview.Non_standard_residues
7,entry_interview,_Entry_interview.Constraints
8,entry_interview,_Entry_interview.Assigned_chem_shifts
9,entry_interview,_Entry_interview.Coupling_constants
10,entry_interview,_Entry_interview.Chem_shift_anisotropy
11,entry_interview,_Entry_interview.Heteronucl_NOEs
12,entry_interview,_Entry_interview.Heteronucl_T1_relaxation
13,entry_interview,_Entry_interview.Heteronucl_T2_relaxation
14,entry_interview,_Entry_interview.Heteronucl_T1rho_relaxation
15,entry_interview,_Entry_interview.Order_parameters
16,entry_interview,_Entry_interview.Residual_dipolar_couplings
17,entry_interview,_Entry_interview.H_exchange_rate
18,entry_interview,_Entry_interview.H_exchange_protection_factors
19,entry_interview,_Entry_interview.Spectral_peak_lists
20,entry_interview,_Entry_interview.Dipole_dipole_couplings
21,entry_interview,_Entry_interview.Quadrupolar_couplings
22,entry_interview,_Entry_interview.Homonucl_NOEs
23,entry_interview,_Entry_interview.Dipole_dipole_relaxation
24,entry_interview,_Entry_interview.DD_cross_correlation
25,entry_interview,_Entry_interview.Dipole_CSA_cross_correlation
26,entry_interview,_Entry_interview.PKa_value_data_set
27,entry_interview,_Entry_interview.D_H_fractionation_factors
28,entry_interview,_Entry_interview.Theoretical_chem_shifts
29,entry_interview,_Entry_interview.Spectral_density_values
30,entry_interview,_Entry_interview.Timedomain_data
31,entry_interview,_Entry_interview.Molecular_interactions
32,entry_interview,_Entry_interview.Secondary_structure_orientations
33,entry_interview,_Entry_interview.Metabolite_coordinates
34,entry_interview,_Entry_interview.Mass_spec_data
35,entry_interview,_Entry_interview.Other_kind_of_data
36,deposited_data_files,_Deposited_data_files.Atomic_coordinate_file_syntax
37,deposited_data_files,_Deposited_data_files.Constraint_file_syntax
38,deposited_data_files,_Deposited_data_files.Precheck_flag
39,deposited_data_files,_Deposited_data_files.Validate_flag
40,deposited_data_files,_Upload_data.Data_file_Sf_category
41,deposited_data_files,_Upload_data.Data_file_syntax
42,study_list,_Study.Type
43,entry_information,_Entry.Version_type
44,entry_information,_Entry.NMR_STAR_version
45,entry_information,_Entry.Original_NMR_STAR_version
46,entry_information,_Entry.Experimental_method
47,entry_information,_Entry.Experimental_method_subtype
48,entry_information,_Entry.Dep_release_code_coordinates
49,entry_information,_Entry.Dep_release_code_nmr_constraints
50,entry_information,_Entry.Dep_release_code_nmr_exptl
51,entry_information,_Entry.Dep_release_code_sequence
52,entry_information,_Entry.CASP_target
53,entry_information,_Entry.Release_request
54,entry_information,_Entry.Recvd_deposit_form
55,entry_information,_Entry.Recvd_coordinates
56,entry_information,_Entry.Recvd_nmr_constraints
57,entry_information,_Entry.Recvd_manuscript
58,entry_information,_Entry.Recvd_author_approval
59,entry_information,_Contact_person.Name_salutation
60,entry_information,_Contact_person.Role
61,entry_information,_Contact_person.Organization_type
62,entry_information,_SG_project.Project_name
63,entry_information,_SG_project.Full_name_of_center
64,entry_information,_SG_project.Initial_of_center
65,entry_information,_Entry_src.Project_name
66,entry_information,_Entry_src.Organization_full_name
67,entry_information,_Entry_src.Organization_initials
68,entry_information,_Data_set.Type
69,entry_information,_Datum.Type
70,entry_information,_Release.Type
71,entry_information,_Related_entries.Database_name
72,citations,_Citation.Class
73,citations,_Citation.Status
74,citations,_Citation.Type
75,citations,_Citation.Journal_abbrev
76,citations,_Citation_author.Family_title
77,citations,_Citation_editor.Family_title
78,assembly,_Assembly.Non_standard_bonds
79,assembly,_Assembly.Ambiguous_conformational_states
80,assembly,_Assembly.Ambiguous_chem_comp_sites
81,assembly,_Assembly.Molecules_in_chemical_exchange
82,assembly,_Assembly.Paramagnetic
83,assembly,_Assembly.Thiol_state
84,assembly,_Assembly_type.Type
85,assembly,_Entity_assembly.Experimental_data_reported
86,assembly,_Entity_assembly.Physical_state
87,assembly,_Entity_assembly.Conformational_isomer
88,assembly,_Entity_assembly.Chemical_exchange_state
89,assembly,_Struct_asym.PDBX_blank_PDB_chainid_flag
90,assembly,_Struct_asym.PDBX_modified
91,assembly,_Assembly_db_link.Author_supplied
92,assembly,_Assembly_db_link.Database_code
93,assembly,_Assembly_db_link.Entry_experimental_method
94,assembly,_Assembly_systematic_name.Naming_system
95,assembly,_Assembly_interaction.Mol_interaction_type
96,assembly,_Atom_type.Paramagnetic
97,assembly_subsystems,_Subsystem_db_link.Author_supplied
98,entity,_Entity.Type
99,entity,_Entity.Polymer_common_type
100,entity,_Entity.Polymer_type
101,entity,_Entity.Ambiguous_conformational_states
102,entity,_Entity.Ambiguous_chem_comp_sites
103,entity,_Entity.Nstd_monomer
104,entity,_Entity.Nstd_chirality
105,entity,_Entity.Nstd_linkage
106,entity,_Entity.Paramagnetic
107,entity,_Entity.Thiol_state
108,entity,_Entity_db_link.Author_supplied
109,entity,_Entity_db_link.Database_code
110,entity,_Entity_db_link.Entry_experimental_method
111,entity,_Entity_systematic_name.Naming_system
112,natural_source,_Entity_natural_src.Type
113,natural_source,_Entity_natural_src.Common
114,natural_source,_Entity_natural_src.Organism_name_scientific
115,natural_source,_Entity_natural_src.Superkingdom
116,natural_source,_Entity_natural_src.Kingdom
117,natural_source,_Entity_natural_src.Organ
118,natural_source,_Entity_natural_src.Tissue
119,natural_source,_Entity_natural_src.Organelle
120,natural_source,_Entity_natural_src.Secretion
121,experimental_source,_Entity_experimental_src.Production_method
122,experimental_source,_Entity_experimental_src.Host_org_scientific_name
123,experimental_source,_Entity_experimental_src.Vector_type
124,chem_comp,_Chem_comp.Type
125,chem_comp,_Chem_comp.PDBx_ambiguous_flag
126,chem_comp,_Chem_comp.PDB_NSTD_flag
127,chem_comp,_Chem_comp.Formal_charge
128,chem_comp,_Chem_comp.Paramagnetic
129,chem_comp,_Chem_comp.Aromatic
130,chem_comp,_Chem_comp.Image_file_name
131,chem_comp,_Chem_comp.Image_file_format
132,chem_comp,_Chem_comp.Vendor
133,chem_comp,_Chem_comp_common_name.Type
134,chem_comp,_Chem_comp_descriptor.Type
135,chem_comp,_Chem_comp_descriptor.Program
136,chem_comp,_Chem_comp_identifier.Type
137,chem_comp,_Chem_comp_identifier.Program
138,chem_comp,_Chem_comp_systematic_name.Naming_system
139,chem_comp,_Chem_comp_atom.Chirality
140,chem_comp,_Chem_comp_atom.PDBx_aromatic_flag
141,chem_comp,_Chem_comp_atom.PDBx_leaving_atom_flag
142,chem_comp,_Chem_comp_atom.Substruct_code
143,chem_comp,_Chem_comp_atom.Ionizable
144,chem_comp,_Chem_comp_db_link.Author_supplied
145,sample,_Sample.Type
146,sample,_Sample.Solvent_system
147,sample,_Sample_component.Mol_common_name
148,sample,_Sample_component.Isotopic_labeling
