dictionarySeq,tagCategory,tagField,tagInterfaceFlag,tagPrompt
TBL_BEGIN,,,,?
10,Entry_interview,Sf_category,?,?
20,Entry_interview,Sf_framecode,?,?
30,Entry_interview,Entry_ID,?,?
40,Entry_interview,Sf_ID,?,?
50,Entry_interview,ID,?,?
60,Entry_interview,PDB_deposition,?,?
70,Entry_interview,BMRB_deposition,?,?
80,Entry_interview,View_mode,?,?
90,Entry_interview,Use_previous_BMRB_entry,?,?
100,Entry_interview,Previous_BMRB_entry_used,?,?
110,Entry_interview,Previous_BMRB_entry_owner,?,?
120,Entry_interview,Structural_genomics,?,?
130,Entry_interview,Ligands,?,?
140,Entry_interview,Non_standard_residues,?,?
150,Entry_interview,Constraints,?,?
160,Entry_interview,Assigned_chem_shifts,?,?
170,Entry_interview,Coupling_constants,?,?
180,Entry_interview,Chem_shift_isotope_effect,?,?
190,Entry_interview,Chem_shift_perturbation,?,?
200,Entry_interview,Auto_relaxation,?,?
210,Entry_interview,Tensor,?,?
220,Entry_interview,Interatomic_distance,?,?
230,Entry_interview,Chem_shift_anisotropy,?,?
240,Entry_interview,Heteronucl_NOEs,?,?
250,Entry_interview,Heteronucl_T1_relaxation,?,?
260,Entry_interview,Heteronucl_T2_relaxation,?,?
270,Entry_interview,Heteronucl_T1rho_relaxation,?,?
280,Entry_interview,Order_parameters,?,?
290,Entry_interview,Dynamics_trajectory,?,?
300,Entry_interview,Movie,?,?
310,Entry_interview,Image_file,?,?
320,Entry_interview,Residual_dipolar_couplings,?,?
330,Entry_interview,H_exchange_rate,?,?
340,Entry_interview,H_exchange_protection_factors,?,?
350,Entry_interview,Chem_rate_constants,?,?
360,Entry_interview,Spectral_peak_lists,?,?
370,Entry_interview,Dipole_dipole_couplings,?,?
380,Entry_interview,Quadrupolar_couplings,?,?
390,Entry_interview,Homonucl_NOEs,?,?
400,Entry_interview,Dipole_dipole_relaxation,?,?
410,Entry_interview,DD_cross_correlation,?,?
420,Entry_interview,Dipole_CSA_cross_correlation,?,?
430,Entry_interview,Binding_constants,?,?
440,Entry_interview,PKa_value_data_set,?,?
450,Entry_interview,D_H_fractionation_factors,?,?
460,Entry_interview,Theoretical_chem_shifts,?,?
470,Entry_interview,Theoretical_coupling_constants,?,?
480,Entry_interview,Theoretical_heteronucl_NOEs,?,?
490,Entry_interview,Theoretical_T1_relaxation,?,?
500,Entry_interview,Theoretical_T2_relaxation,?,?
510,Entry_interview,Theoretical_auto_relaxation,?,?
520,Entry_interview,Theoretical_DD_cross_correlation,?,?
530,Entry_interview,Spectral_density_values,?,?
540,Entry_interview,Timedomain_data,?,?
550,Entry_interview,Secondary_structure_orientations,?,?
560,Entry_interview,Metabolite_coordinates,?,?
570,Entry_interview,Mass_spec_data,?,?
580,Entry_interview,Other_kind_of_data,?,?
590,Deposited_data_files,Sf_category,?,?
600,Deposited_data_files,Sf_framecode,?,?
610,Deposited_data_files,Entry_ID,?,?
620,Deposited_data_files,Sf_ID,?,?
630,Deposited_data_files,ID,?,?
640,Deposited_data_files,Atomic_coordinate_file_name,?,?
650,Deposited_data_files,Atomic_coordinate_file_syntax,?,?
660,Deposited_data_files,Constraint_file_name,?,?
670,Deposited_data_files,Constraint_file_syntax,?,?
680,Deposited_data_files,Precheck_flag,?,?
690,Deposited_data_files,Validate_flag,?,?
700,Upload_data,Data_file_ID,?,?
710,Upload_data,Data_file_name,?,?
720,Upload_data,Data_file_content_type,?,?
730,Upload_data,Data_file_Sf_category,?,?
740,Upload_data,Data_file_syntax,?,?
750,Upload_data,Data_file_immutable_flag,?,?
760,Upload_data,Sf_ID,?,?
770,Upload_data,Entry_ID,?,?
780,Upload_data,Deposited_data_files_ID,?,?
790,Study_list,Sf_category,?,?
800,Study_list,Sf_framecode,?,?
810,Study_list,Entry_ID,?,?
820,Study_list,Sf_ID,?,?
830,Study_list,ID,?,?
840,Study,ID,?,?
850,Study,Name,?,?
860,Study,Type,?,?
870,Study,Details,?,?
880,Study,Sf_ID,?,?
890,Study,Entry_ID,?,?
900,Study,Study_list_ID,?,?
910,Study_keyword,Study_ID,?,?
920,Study_keyword,Keyword,?,?
930,Study_keyword,Sf_ID,?,?
940,Study_keyword,Entry_ID,?,?
950,Study_keyword,Study_list_ID,?,?
960,Study_entry_list,Study_ID,?,?
970,Study_entry_list,BMRB_accession_code,?,?
980,Study_entry_list,BMRB_entry_description,?,?
990,Study_entry_list,Details,?,?
1000,Study_entry_list,Sf_ID,?,?
1010,Study_entry_list,Entry_ID,?,?
1020,Study_entry_list,Study_list_ID,?,?
1030,Entry,Sf_category,?,?
1040,Entry,Sf_framecode,?,?
1050,Entry,Sf_ID,?,?
1060,Entry,ID,C,Entry ID
1070,Entry,Title,C,Title
1080,Entry,Type,C,Entry type
1090,Entry,Version_type,?,?
1100,Entry,Submission_date,C,Submission date
1110,Entry,Accession_date,?,?
1120,Entry,Last_release_date,?,?
1130,Entry,Original_release_date,?,Original release date
1140,Entry,Origination,?,?
1150,Entry,Format_name,?,?
1160,Entry,NMR_STAR_version,?,?
1170,Entry,Original_NMR_STAR_version,?,?
1180,Entry,Experimental_method,C,Experimental method
1190,Entry,Experimental_method_subtype,C,Experimental method subtype
1200,Entry,Source_data_format,?,?
1210,Entry,Source_data_format_version,?,?
1220,Entry,Generated_software_name,?,?
1230,Entry,Generated_software_version,?,?
1240,Entry,Generated_software_ID,?,?
1250,Entry,Generated_software_label,?,?
1260,Entry,Generated_date,?,?
1270,Entry,DOI,?,?
1280,Entry,UUID,?,?
1290,Entry,Related_coordinate_file_name,?,?
1300,Entry,Dep_release_code_coordinates,?,?
1310,Entry,Dep_release_code_nmr_constraints,?,?
1320,Entry,Dep_release_code_chemical_shifts,?,?
1330,Entry,Dep_release_code_nmr_exptl,?,?
1340,Entry,Dep_release_code_sequence,?,?
1350,Entry,CASP_target,?,?
1360,Entry,Details,?,?
1370,Entry,Special_processing_instructions,?,?
1380,Entry,Update_BMRB_accession_code,?,?
1390,Entry,Replace_BMRB_accession_code,?,?
1400,Entry,Update_PDB_accession_code,?,?
1410,Entry,Replace_PDB_accession_code,?,?
1420,Entry,PDB_coordinate_file_version,?,?
1430,Entry,BMRB_update_details,?,?
1440,Entry,PDB_update_details,?,?
1450,Entry,Release_request,?,?
1460,Entry,Release_date_request,?,?
1470,Entry,Release_date_justification,?,?
1480,Entry,Status_code,C,Status code
1490,Entry,Recvd_deposit_form,?,?
1500,Entry,Date_deposition_form,?,?
1510,Entry,Recvd_coordinates,?,?
1520,Entry,Date_coordinates,?,?
1530,Entry,Recvd_nmr_constraints,?,?
1540,Entry,Date_nmr_constraints,?,?
1550,Entry,Recvd_chemical_shifts,?,?
1560,Entry,Date_chemical_shifts,?,?
1570,Entry,Recvd_manuscript,?,?
1580,Entry,Date_manuscript,?,?
1590,Entry,Recvd_author_approval,?,?
1600,Entry,Date_author_approval,?,?
1610,Entry,Recvd_initial_deposition_date,?,?
1620,Entry,PDB_date_submitted,?,?
1630,Entry,Author_release_status_code,?,?
1640,Entry,Date_of_PDB_release,?,?
1650,Entry,Date_hold_coordinates,?,?
1660,Entry,Date_hold_nmr_constraints,?,?
1670,Entry,Date_hold_chemical_shifts,?,?
1680,Entry,PDB_deposit_site,?,?
1690,Entry,PDB_process_site,?,?
1700,Entry,BMRB_deposit_site,?,?
1710,Entry,BMRB_process_site,?,?
1720,Entry,BMRB_annotator,?,?
1730,Entry,BMRB_internal_directory_name,?,?
1740,Entry,RCSB_annotator,?,?
1750,Entry,Author_approval_type,?,?
1760,Entry,Assigned_BMRB_ID,?,?
1770,Entry,Assigned_BMRB_deposition_code,?,?
1780,Entry,Assigned_PDB_ID,?,?
1790,Entry,Assigned_PDB_deposition_code,?,?
1800,Entry,Assigned_restart_ID,?,?
1810,Entry_experimental_methods,ID,?,?
1820,Entry_experimental_methods,Method,?,?
1830,Entry_experimental_methods,Subtype,?,?
1840,Entry_experimental_methods,Sf_ID,?,?
1850,Entry_experimental_methods,Entry_ID,?,?
1860,Entry_proc_cycle,Cycle_ID,?,?
1870,Entry_proc_cycle,Date_begin_cycle,?,?
1880,Entry_proc_cycle,Date_end_cycle,?,?
1890,Entry_proc_cycle,Details,?,?
1900,Entry_proc_cycle,Sf_ID,?,?
1910,Entry_proc_cycle,Entry_ID,?,?
1920,Entry_prerelease_seq,Entity_ID,?,?
1930,Entry_prerelease_seq,Entity_label,?,?
1940,Entry_prerelease_seq,Seq_one_letter_code,?,?
