Enumeration ID,Sf category,Tag
TBL_BEGIN,?,?
1,entry_interview,_Entry_interview.View_mode
2,deposited_data_files,_Deposited_data_files.Atomic_coordinate_file_syntax
3,deposited_data_files,_Deposited_data_files.Constraint_file_syntax
4,deposited_data_files,_Upload_data.Data_file_content_type
5,deposited_data_files,_Upload_data.Data_file_Sf_category
6,deposited_data_files,_Upload_data.Data_file_syntax
7,study_list,_Study.Type
8,entry_information,_Entry.Type
9,entry_information,_Entry.Version_type
10,entry_information,_Entry.Format_name
11,entry_information,_Entry.NMR_STAR_version
12,entry_information,_Entry.Original_NMR_STAR_version
13,entry_information,_Entry.Experimental_method
14,entry_information,_Entry.Experimental_method_subtype
15,entry_information,_Entry.Dep_release_code_coordinates
16,entry_information,_Entry.Dep_release_code_nmr_constraints
17,entry_information,_Entry.Dep_release_code_chemical_shifts
18,entry_information,_Entry.Dep_release_code_nmr_exptl
19,entry_information,_Entry.Dep_release_code_sequence
20,entry_information,_Entry.CASP_target
21,entry_information,_Entry.Release_request
22,entry_information,_Entry.Status_code
23,entry_information,_Entry.Author_release_status_code
24,entry_information,_Entry_experimental_methods.Method
25,entry_information,_Entry_experimental_methods.Subtype
26,entry_information,_Contact_person.Name_salutation
27,entry_information,_Contact_person.Family_title
28,entry_information,_Contact_person.Role
29,entry_information,_Contact_person.Organization_type
30,entry_information,_Entry_author.Family_title
31,entry_information,_SG_project.Project_name
32,entry_information,_SG_project.Full_name_of_center
33,entry_information,_SG_project.Initial_of_center
34,entry_information,_Entry_src.Organization_full_name
35,entry_information,_Data_set.Type
36,entry_information,_Datum.Type
37,entry_information,_Release.Format_type
38,entry_information,_Release.Type
39,entry_information,_Related_entries.Database_name
40,entry_information,_Matched_entries.Database_name
41,entry_information,_Audit.Update_record
42,citations,_Citation.Class
43,citations,_Citation.Status
44,citations,_Citation.Type
45,citations,_Citation.Journal_abbrev
46,citations,_Citation_author.Family_title
47,citations,_Citation_editor.Family_title
48,assembly,_Assembly.Thiol_state
49,assembly,_Assembly_type.Type
50,assembly,_Entity_assembly.Physical_state
51,assembly,_Bond.Type
52,assembly,_Bond.Value_order
53,assembly,_Assembly_db_link.Database_code
54,assembly,_Assembly_db_link.Entry_experimental_method
55,assembly,_Assembly_systematic_name.Naming_system
56,assembly,_Assembly_interaction.Mol_interaction_type
57,entity,_Entity.Type
58,entity,_Entity.Polymer_common_type
59,entity,_Entity.Polymer_type
60,entity,_Entity.Thiol_state
61,entity,_Entity_db_link.Database_code
62,entity,_Entity_db_link.Entry_experimental_method
63,entity,_Entity_common_name.Type
64,entity,_Entity_systematic_name.Naming_system
65,entity,_Entity_bond.Type
66,entity,_Entity_bond.Value_order
67,natural_source,_Entity_natural_src.Type
68,natural_source,_Entity_natural_src.Organism_name_scientific
69,natural_source,_Entity_natural_src.Superkingdom
70,natural_source,_Entity_natural_src.Kingdom
71,natural_source,_Entity_natural_src.Organ
72,natural_source,_Entity_natural_src.Tissue
73,natural_source,_Entity_natural_src.Organelle
74,natural_source,_Entity_natural_src.Secretion
75,experimental_source,_Entity_experimental_src.Production_method
76,experimental_source,_Entity_experimental_src.Host_org_scientific_name
77,experimental_source,_Entity_experimental_src.Host_org_genus
78,experimental_source,_Entity_experimental_src.Host_org_species
79,experimental_source,_Entity_experimental_src.Vector_type
80,chem_comp,_Chem_comp.Provenance
81,chem_comp,_Chem_comp.Type
82,chem_comp,_Chem_comp.Release_status
83,chem_comp,_Chem_comp.Atom_nomenclature_source
84,chem_comp,_Chem_comp.Formal_charge
85,chem_comp,_Chem_comp.Image_file_format
86,chem_comp,_Chem_comp.Processing_site
87,chem_comp,_Chem_comp.Vendor
88,chem_comp,_Chem_comp_common_name.Type
89,chem_comp,_Chem_struct_descriptor.Descriptor
90,chem_comp,_Chem_struct_descriptor.Type
91,chem_comp,_Chem_comp_descriptor.Type
92,chem_comp,_Chem_comp_descriptor.Program
93,chem_comp,_Chem_comp_identifier.Type
94,chem_comp,_Chem_comp_identifier.Program
95,chem_comp,_Chem_comp_systematic_name.Naming_system
96,chem_comp,_Chem_comp_atom.Chirality
97,chem_comp,_Chem_comp_atom.Stereo_config
98,chem_comp,_Chem_comp_atom.Substruct_code
99,chem_comp,_Chem_comp_bond.Type
100,chem_comp,_Chem_comp_bond.Value_order
101,chem_comp,_Chem_comp_bond.Stereo_config
102,chem_comp,_Chem_comp_db_link.Database_code
103,sample,_Sample.Type
