Enumeration ID,Enum ordinal,Enum value,Enum value desc
TBL_BEGIN,?,?,?
105,1,yes,enumeration_text
105,2,no,enumeration_text
104,1,yes,enumeration_text
104,2,no,enumeration_text
106,1,yes,enumeration_text
106,2,no,enumeration_text
103,1,yes,enumeration_text
103,2,no,enumeration_text
107,1,yes,enumeration_text
107,2,no,enumeration_text
108,1,all disulfide bound,enumeration_text
108,2,all other bound,enumeration_text
108,3,all free,enumeration_text
108,4,not present,enumeration_text
108,5,not available,enumeration_text
108,6,unknown,enumeration_text
108,7,not reported,enumeration_text
108,8,free and disulfide bound,enumeration_text
108,9,free and other bound,enumeration_text
108,10,free disulfide and other bound,enumeration_text
108,11,disulfide and other bound,enumeration_text
119,1,PDB,"Protein Data Bank"
119,2,BMRB,"BioMagResBank"
119,3,DBJ,enumeration_text
119,4,EMBL,enumeration_text
119,5,GB,enumeration_text
119,6,PIR,enumeration_text
119,7,PRF,enumeration_text
119,8,REF,enumeration_text
119,9,SP,enumeration_text
119,10,UNP,enumeration_text
119,11,NCBI,enumeration_text
119,12,PubMed,"NCBI PubMed"
119,13,SGD,"Saccharomyces Genome Database"
119,14,SMART,"Simple Modular Architecture Research Tool"
119,15,TargetDB,"Target registration database"
119,16,BMRB(withdrawn),"BMRB withdrawn accession code"
118,1,yes,enumeration_text
118,2,no,enumeration_text
120,1,X-ray,enumeration_text
120,2,solution NMR,enumeration_text
120,3,solid-state NMR,enumeration_text
120,4,FTIR,enumeration_text
120,5,mass spectrometry,enumeration_text
120,6,XAFS,enumeration_text
120,7,NMR,enumeration_text
120,8,X-ray crystallography,enumeration_text
120,9,X-ray fiber diffraction,enumeration_text
120,10,solid-state NMR and X-ray fiber diffraction,enumeration_text
120,11,na,enumeration_text
122,1,Extremely slow exchange,enumeration_text
122,2,Slow exchange,enumeration_text
122,3,Intermediate exchange,enumeration_text
122,4,Fast exchange,enumeration_text
122,5,No interaction,enumeration_text
122,6,na,enumeration_text
121,1,IUPAC,enumeration_text
121,2,CAS name,enumeration_text
121,3,CAS registry number,enumeration_text
121,4,BMRB,enumeration_text
121,5,Pfam,enumeration_text
121,6,Swiss-Prot,enumeration_text
121,7,MEROPS,enumeration_text
109,1,peptide,enumeration_text
109,2,protein monomer,enumeration_text
109,3,protein homo-multimer,enumeration_text
109,4,protein hetero-multimer,enumeration_text
109,5,RNA single strand,enumeration_text
109,6,RNA double strand,enumeration_text
109,7,DNA single strand,enumeration_text
109,8,DNA double strand,enumeration_text
109,9,DNA-RNA hybrid,enumeration_text
109,10,polysaccharide,enumeration_text
109,11,protein-nucleic acid complex,enumeration_text
109,12,protein-inhibitor complex,enumeration_text
109,13,protein-drug complex,enumeration_text
109,14,protein-ligand complex,enumeration_text
109,15,protein-protein complex,enumeration_text
109,16,protein-DNA complex,enumeration_text
109,17,protein-DNA-ligand complex,enumeration_text
109,18,protein-DNA-inhibitor complex,enumeration_text
109,19,protein-RNA complex,enumeration_text
109,20,protein-RNA-ligand complex,enumeration_text
109,21,protein-RNA-inhibitor complex,enumeration_text
109,22,protein-carbohydrate complex,enumeration_text
109,23,DNA-drug complex,enumeration_text
109,24,DNA-RNA complex,enumeration_text
109,25,RNA-drug complex,enumeration_text
109,26,non-polymer,enumeration_text
238,1,1,enumeration_text
238,2,2,enumeration_text
238,3,3,enumeration_text
238,4,4,enumeration_text
238,5,5,enumeration_text
238,6,6,enumeration_text
238,7,9,enumeration_text
345,1,1,"Flag indicating that the atom is in an ordered region of the structure."
345,2,0,"Flag indicating that the atom is in a poorly ordered region of the structure."
124,1,yes,enumeration_text
124,2,no,enumeration_text
96,1,Preliminary version,enumeration_text
96,2,Nomenclature checked,enumeration_text
96,3,Nomenclature checked and updated,enumeration_text
96,4,Chemical shifts checked,enumeration_text
96,5,Chemical shifts checked and updated,enumeration_text
96,6,Data file replaced,enumeration_text
96,7,Initial release,enumeration_text
331,1,anisotropic,enumeration_text
331,2,isotropic,enumeration_text
140,1,amide,enumeration_text
140,2,covalent,enumeration_text
140,3,directed,enumeration_text
140,4,disulfide,enumeration_text
140,5,ester,enumeration_text
140,6,ether,enumeration_text
140,7,hydrogen,enumeration_text
140,8,metal coordination,enumeration_text
140,9,peptide,enumeration_text
140,10,thioether,enumeration_text
140,11,oxime,enumeration_text
140,12,thioester,enumeration_text
140,13,phosphoester,enumeration_text
140,14,phosphodiester,enumeration_text
140,15,diselenide,enumeration_text
140,16,na,enumeration_text
141,1,sing,"single bond"
141,2,doub,"double bond"
141,3,trip,"triple bond"
141,4,quad,"quadruple bond"
141,5,arom,"aromatic bond"
141,6,poly,"polymeric bond"
141,7,delo,"delocalized double bond"
141,8,pi,"pi bond"
141,9,directed,"N ->O"
365,1,sing,"single bond"
365,2,doub,"double bond"
365,3,trip,"triple bond"
365,4,quad,"quadruple bond"
365,5,arom,"aromatic bond"
365,6,poly,"polymeric bond"
365,7,delo,"delocalized double bond"
365,8,pi,"pi bond"
365,9,directed,"N ->O"
364,1,amide,enumeration_text
364,2,covalent,enumeration_text
